,amount,channel_reference,customer_id,customer_name,customer_type,invoice_dt,invoice_number,items,order_date,order_id,order_net_amount,order_status,quantity,shipping_state,sku_id,sku_name,source,user_name,warehouse_name,order_dt,pending_orders,overdue_days,channel
27998,433.5,,1350,Aum Motors,GoPreneur,2020-10-08 00:00:00,D_OUT/20-21/2355,MGP,2020-08-07 19:13:18,GMD2307,2167.5136,Invoiced,10,Gujarat,72321M67L00,LINING FRONT FENDER RH,Offline,gp_rahul,GM_DEL,2020-08-07 19:13:18,0,0,GoPreneur
31392,23406.22,,1350,Aum Motors,GoPreneur,2020-10-15 00:00:00,D_OUT/20-21/2582,VW GROUP,2020-08-17 18:26:41,GMD2425,224420.625,Invoiced,15,Gujarat,6RF8536519B9,GRILLE UPPER,Offline,d_lalit,GM_DEL,2020-08-17 18:26:41,0,0,GoPreneur
31400,2297.09,,1350,Aum Motors,GoPreneur,2020-10-15 00:00:00,D_OUT/20-21/2582,VW GROUP,2020-08-17 18:26:41,GMD2425,2297.11,Invoiced,5,Gujarat,6RG8536779B9,GRILLE LOWER,Offline,d_lalit,GM_DEL,2020-08-17 18:26:41,0,0,GoPreneur
31405,8172.81,,1350,Aum Motors,GoPreneur,2020-10-15 00:00:00,D_OUT/20-21/2582,VW GROUP,2020-08-17 18:26:41,GMD2425,8172.834048,Invoiced,2,Gujarat,6RU807421GRU,COVER,Offline,d_lalit,GM_DEL,2020-08-17 18:26:41,0,0,GoPreneur
31410,16062.05,,1350,Aum Motors,GoPreneur,2020-10-15 00:00:00,D_OUT/20-21/2582,VW GROUP,2020-08-17 18:26:41,GMD2425,16062.04,Invoiced,3,Gujarat,6RU823031,HOOD,Offline,d_lalit,GM_DEL,2020-08-17 18:26:41,0,0,GoPreneur
31411,11387.9,,1350,Aum Motors,GoPreneur,2020-10-15 00:00:00,D_OUT/20-21/2582,VW GROUP,2020-08-17 18:26:41,GMD2425,11387.84,Invoiced,5,Gujarat,6RW807221AGRU,COVER,Offline,d_lalit,GM_DEL,2020-08-17 18:26:41,0,0,GoPreneur
31415,10236.48,,1350,Aum Motors,GoPreneur,2020-10-15 00:00:00,D_OUT/20-21/2582,VW GROUP,2020-08-17 18:26:41,GMD2425,10236.52339,Invoiced,3,Gujarat,6RG821105K,FENDER,Offline,d_lalit,GM_DEL,2020-08-17 18:26:41,0,0,GoPreneur
31416,7629.75,,1350,Aum Motors,GoPreneur,2020-10-15 00:00:00,D_OUT/20-21/2582,VW GROUP,2020-08-17 18:26:41,GMD2425,19074.31,Invoiced,5,Gujarat,6RU821105,FENDER,Offline,d_lalit,GM_DEL,2020-08-17 18:26:41,0,0,GoPreneur
31417,3564.69,,1350,Aum Motors,GoPreneur,2020-10-15 00:00:00,D_OUT/20-21/2582,VW GROUP,2020-08-17 18:26:41,GMD2425,46340.95,Invoiced,13,Gujarat,6RU821106,FENDER,Offline,d_lalit,GM_DEL,2020-08-17 18:26:41,0,0,GoPreneur
31418,10236.48,,1350,Aum Motors,GoPreneur,2020-10-15 00:00:00,D_OUT/20-21/2582,VW GROUP,2020-08-17 18:26:41,GMD2425,10236.52339,Invoiced,3,Gujarat,6RG821106K,FENDER,Offline,d_lalit,GM_DEL,2020-08-17 18:26:41,0,0,GoPreneur
31419,20892.08,,1350,Aum Motors,GoPreneur,2020-10-15 00:00:00,D_OUT/20-21/2582,VW GROUP,2020-08-17 18:26:41,GMD2425,20892.47232,Invoiced,5,Gujarat,6RU821105N,FENDER,Offline,d_lalit,GM_DEL,2020-08-17 18:26:41,0,0,GoPreneur
31420,54319.43,,1350,Aum Motors,GoPreneur,2020-10-15 00:00:00,D_OUT/20-21/2582,VW GROUP,2020-08-17 18:26:41,GMD2425,54320.42803,Invoiced,13,Gujarat,6RU821106N,FENDER,Offline,d_lalit,GM_DEL,2020-08-17 18:26:41,0,0,GoPreneur
31421,38511.36,,1350,Aum Motors,GoPreneur,2020-10-15 00:00:00,D_OUT/20-21/2582,VW GROUP,2020-08-17 18:26:41,GMD2425,38511.34,Invoiced,10,Gujarat,6RG807217GRU,BUMPER COVER ,Offline,d_lalit,GM_DEL,2020-08-17 18:26:41,0,0,GoPreneur
34501,949.5,,1279,Madanlal Fourwheels,GoPreneur,2020-10-08 00:00:00,D_OUT/20-21/2338,MGP,2020-08-24 17:41:23,GMD2552,949.5,Invoiced,1,Maharashtra,63410M75L00,PANEL WHEEL HOUSE INNER RH,Offline,gp_rahul,GM_DEL,2020-08-24 17:41:23,0,0,GoPreneur
34509,1620.01,,1279,Madanlal Fourwheels,GoPreneur,2020-10-13 00:00:00,D_OUT/20-21/2471,MGP,2020-08-24 17:41:23,GMD2552,1620,Invoiced,1,Maharashtra,71711M67K005PK,BUMPER FRONT,Offline,gp_rahul,GM_DEL,2020-08-24 17:41:23,0,0,GoPreneur
34516,1656,,1279,Madanlal Fourwheels,GoPreneur,2020-10-13 00:00:00,D_OUT/20-21/2471,MGP,2020-08-24 17:41:23,GMD2552,1656,Invoiced,1,Maharashtra,71711M79G005PK,"BUMPER,FRONT (PAINTABLE GRADE)",Offline,gp_rahul,GM_DEL,2020-08-24 17:41:23,0,0,GoPreneur
34517,1620.01,,1279,Madanlal Fourwheels,GoPreneur,2020-10-13 00:00:00,D_OUT/20-21/2471,MGP,2020-08-24 17:41:23,GMD2552,3240,Invoiced,2,Maharashtra,71711M83P005PK,"BUMPER, FRONT (BLACK)",Offline,gp_rahul,GM_DEL,2020-08-24 17:41:23,0,0,GoPreneur
